Table 1,,,,,,,,
serialNo,car_brand,car_model,model_name_th,nickname,item_name,fitment_detail,standard_price,
DF-0500018,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากแร็ค,-,550.00,
DF-0200134,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากคันชัก,นอก,400.00,
DF-0200100,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากคันชัก,นอก,450.00,
DF-0200170,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากคันชัก,นอก,,
DF-0600121,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากปีกนก,ล่าง,650.00,
DF-0600132,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากปีกนก,บน,650.00,
DF-0600100,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากปีกนก,บน,650.00,
DF-0600148,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากปีกนก,ล่าง,,
DF-0600149,TOYOTA,HILUX MIGHTY-X,ไฮลักซ์ ไมตี้-เอ็กซ์,โฉมปี 1988-1997 (Mighty-X),ลูกหมากปีกนก,ล่าง,,
IE-0000001,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ไส้กรองเชื้อเพลิง,-,,
DF-0700067,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากกันโคลง,หน้า,350.00,
DF-0700039,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากกันโคลง,หลัง,350.00,
DF-0700215,ISUZU,D-MAX,ดี-แม็กซ์,โฉมปี 2002-2011 (2WD),ลูกหมากกันโคลง,หน้า,450.00,
